project,pairing_mode,file_old,file_new,scope,change_type,line_old,pos_old,line_new,pos_new,kind_old,kind_new,text_old,text_new
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._finalize,added,,,245,1,,Assign,,is_binary = mode == 'binary' or encoding == 'base64'
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._finalize,added,,,246,1,,Assign,,eol = meta.get('eol') or ('n/a' if is_binary else 'LF')
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._finalize,added,,,248,1,,Return,,"return BundleEntry(path=path, content=raw.get('content', ''), is_binary=is_binary, encoding=encoding, eol_style=eol, checksum=None)"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._parse_meta,added,,,223,1,,FunctionDef,,"def _parse_meta(self, meta_str: str) -> Dict[str, str]: meta: Dict[str, str] = {} for k, v in self.META_FIELD_PATTERN.findall(meta_str): meta[k.strip().lower()] = v.strip() return meta"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._parse_meta,added,,,224,1,,AnnAssign,,"meta: Dict[str, str] = {}"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._parse_meta,added,,,225,1,,For,,"for k, v in self.META_FIELD_PATTERN.findall(meta_str): meta[k.strip().lower()] = v.strip()"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._parse_meta,added,,,226,1,,Assign,,meta[k.strip().lower()] = v.strip()
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._parse_meta,added,,,227,1,,Return,,return meta
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._trim_header_spacing,added,,,229,1,,FunctionDef,,"def _trim_header_spacing(self, content: str, meta: Dict[str, str]) -> str: """""" Trim a redundant separator newline while honoring an explicit trailing flag. META example: trailing=false|true """""" trailing = (meta.get('trailing') or '').strip().lower() if content.endswith('\n\n'): return content[:-2] if trailing == 'false' else content[:-1] if trailing == 'false' and content.endswith('\n'): return content[:-1] return content"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._trim_header_spacing,added,,,230,1,,Expr,,'\n Trim a redundant separator newline while honoring an explicit trailing flag.\n META example: trailing=false|true\n '
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._trim_header_spacing,added,,,234,1,,Assign,,trailing = (meta.get('trailing') or '').strip().lower()
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._trim_header_spacing,added,,,235,1,,If,,if content.endswith('\n\n'): return content[:-2] if trailing == 'false' else content[:-1]
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._trim_header_spacing,added,,,236,1,,Return,,return content[:-2] if trailing == 'false' else content[:-1]
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._trim_header_spacing,added,,,237,1,,If,,if trailing == 'false' and content.endswith('\n'): return content[:-1]
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._trim_header_spacing,added,,,238,1,,Return,,return content[:-1]
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._trim_header_spacing,added,,,239,1,,Return,,return content
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._validate_before_format,added,,,257,1,,FunctionDef,,"def _validate_before_format(self, manifest: BundleManifest) -> None: """"""Ensure entries are well-formed before formatting."""""" for e in manifest.entries: if e.is_binary and (not isinstance(e.content, (str, bytes, bytearray))): raise ProfileFormatError(self.profile_name, 'Binary entry content must be str/bytes') if not e.encoding: e.encoding = 'base64' if e.is_binary else 'utf-8' if not e.eol_style: e.eol_style = 'n/a' if e.is_binary else 'LF'"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._validate_before_format,added,,,258,1,,Expr,,'Ensure entries are well-formed before formatting.'
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._validate_before_format,added,,,259,1,,For,,"for e in manifest.entries: if e.is_binary and (not isinstance(e.content, (str, bytes, bytearray))): raise ProfileFormatError(self.profile_name, 'Binary entry content must be str/bytes') if not e.encoding: e.encoding = 'base64' if e.is_binary else 'utf-8' if not e.eol_style: e.eol_style = 'n/a' if e.is_binary else 'LF'"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._validate_before_format,added,,,260,1,,If,,"if e.is_binary and (not isinstance(e.content, (str, bytes, bytearray))): raise ProfileFormatError(self.profile_name, 'Binary entry content must be str/bytes')"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._validate_before_format,added,,,261,1,,Raise,,"raise ProfileFormatError(self.profile_name, 'Binary entry content must be str/bytes')"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._validate_before_format,added,,,262,1,,If,,if not e.encoding: e.encoding = 'base64' if e.is_binary else 'utf-8'
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._validate_before_format,added,,,263,1,,Assign,,e.encoding = 'base64' if e.is_binary else 'utf-8'
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._validate_before_format,added,,,264,1,,If,,if not e.eol_style: e.eol_style = 'n/a' if e.is_binary else 'LF'
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile._validate_before_format,added,,,265,1,,Assign,,e.eol_style = 'n/a' if e.is_binary else 'LF'
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.detect_format,added,,,59,1,,FunctionDef,,"def detect_format(self, text: str) -> bool: """"""Detect if text appears to use '# FILE:' markers."""""" for line in text.splitlines()[:20]: if self.FILE_PATTERN.match(line): return True return False"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.detect_format,added,,,60,1,,Expr,,"""Detect if text appears to use '# FILE:' markers."""
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.detect_format,added,,,61,1,,For,,for line in text.splitlines()[:20]: if self.FILE_PATTERN.match(line): return True
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.detect_format,added,,,62,1,,If,,if self.FILE_PATTERN.match(line): return True
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.detect_format,added,,,63,1,,Return,,return True
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.detect_format,added,,,64,1,,Return,,return False
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,147,1,,FunctionDef,,"def format_manifest(self, manifest: BundleManifest) -> str: """""" Convert a BundleManifest to plain-marker text. Always writes 'bundle_format_diagnostic.log' with detailed entry info. """""" self._validate_before_format(manifest) import logging logger = logging.getLogger('bundle.format_diagnostic') logger.setLevel(logging.DEBUG) if not logger.handlers: fh = logging.FileHandler('bundle_format_diagnostic.log', mode='w', encoding='utf-8') fh.setLevel(logging.DEBUG) fmt = logging.Formatter('%(asctime)s - %(levelname)s - %(message)s') fh.setFormatter(fmt) logger.addHandler(fh) logger.propagate = False logger.info('=' * 80) logger.info('STARTING format_manifest()') logger.info(f'Manifest contains {len(manifest.entries)} entries') logger.info('=' * 80) border = '# ' + '=' * 67 out: List[str] = [] for idx, entry in enumerate(manifest.entries): logger.info(f'\n--- Processing Entry {idx + 1}/{len(manifest.entries)} ---') logger.info(f' Path: {entry.path}') logger.info(f' Binary: {entry.is_binary}') logger.info(f' Encoding: {entry.encoding}') logger.info(f' EOL: {entry.eol_style}') logger.info(f' Content length: {len(entry.content)} chars') logger.info(f' Content ends with newline: {entry.content.endswith(chr(10))}') logger.info(f' Content ends with CRLF: {entry.content.endswith(chr(13) + chr(10))}') tail = entry.content[-50:] if entry.content else '' logger.info(f' Last 50 chars (repr): {(repr(tail) if tail else 'EMPTY')}') mode = 'binary' if entry.is_binary else 'text' encoding = entry.encoding or ('base64' if entry.is_binary else 'utf-8') eol = entry.eol_style or ('n/a' if entry.is_binary else 'LF') header = f'{border}\n# FILE: {entry.path}\n# META: encoding={encoding}; eol={eol}; mode={mode}\n{border}\n' if entry.is_binary: if isinstance(entry.content, str): payload = entry.content.strip() elif isinstance(entry.content, (bytes, bytearray)): payload = base64.b64encode(bytes(entry.content)).decode('ascii') else: raise ProfileFormatError(self.profile_name, f'Unsupported binary content type: {type(entry.content)}') block = header + payload + '\n' else: text = entry.content if isinstance(entry.content, str) else str(entry.content) block = header + text if not block.endswith('\n'): block += '\n' if idx < len(manifest.entries) - 1: block += '' out.append(block) logger.info('COMPLETED format_manifest()') return ''.join(out)"
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,155,1,,Import,,import logging
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,157,1,,Assign,,logger = logging.getLogger('bundle.format_diagnostic')
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,158,1,,Expr,,logger.setLevel(logging.DEBUG)
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,164,1,,Expr,,logger.addHandler(fh)
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,167,1,,Expr,,logger.info('=' * 80)
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,169,1,,Expr,,logger.info(f'Manifest contains {len(manifest.entries)} entries')
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,178,1,,Expr,,logger.info(f' Binary: {entry.is_binary}')
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,181,1,,Expr,,logger.info(f' Content length: {len(entry.content)} chars')
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,182,1,,Expr,,logger.info(f' Content ends with newline: {entry.content.endswith(chr(10))}')
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,183,1,,Expr,,logger.info(f' Content ends with CRLF: {entry.content.endswith(chr(13) + chr(10))}')
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,184,1,,Assign,,tail = entry.content[-50:] if entry.content else ''
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,185,1,,Expr,,logger.info(f' Last 50 chars (repr): {(repr(tail) if tail else 'EMPTY')}')
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,187,1,,Assign,,mode = 'binary' if entry.is_binary else 'text'
,mapped,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/plain_marker.py,C:/Users/mpw/python/bundle_file_project/bundle_file_tool_v2/src/core/profiles/proposed_plain_marker.py,method:PlainMarkerProfile.format_manifest,added,,,188,1,,Assign,,encoding = entry.encoding or ('base64' if entry.is_binary else 'utf-8')
